Year,Units,Value
2010,процент,1.2
2011,процент,1.3
2012,процент,1.3
2013,процент,0.9
2014,процент,0.8
2015,процент,1.0
2016,процент,1.2
2017,процент,1.3
2014,в процентах к предыдущему году,93.5
2015,в процентах к предыдущему году,115.3
2016,в процентах к предыдущему году,124.0
2017,в процентах к предыдущему году,118.7
