Year,Units,Регионы,GeoCode,Value
2010,"процент, в ценах 2010 года",,,11.3
2011,"процент, в ценах 2010 года",,,11.3
2012,"процент, в ценах 2010 года",,,11.1
2013,"процент, в ценах 2010 года",,,10.8
2014,"процент, в ценах 2010 года",,,10.5
2015,"процент, в ценах 2010 года",,,10.4
2016,"процент, в ценах 2010 года",,,10.5
2017,"процент, в ценах 2010 года",,,10.7
2018,"процент, в ценах 2010 года",,,10.7
2010,"процент, в ценах 2010 года",Акмолинская,KZ03,13.4
2011,"процент, в ценах 2010 года",Акмолинская,KZ03,13.0
2012,"процент, в ценах 2010 года",Акмолинская,KZ03,14.1
2013,"процент, в ценах 2010 года",Акмолинская,KZ03,13.4
2014,"процент, в ценах 2010 года",Акмолинская,KZ03,14.0
2015,"процент, в ценах 2010 года",Акмолинская,KZ03,14.8
2016,"процент, в ценах 2010 года",Акмолинская,KZ03,14.8
2017,"процент, в ценах 2010 года",Акмолинская,KZ03,14.9
2018,"процент, в ценах 2010 года",Акмолинская,KZ03,15.3
2010,"процент, в ценах 2010 года",Актюбинская,KZ04,7.9
2011,"процент, в ценах 2010 года",Актюбинская,KZ04,8.0
2012,"процент, в ценах 2010 года",Актюбинская,KZ04,7.6
2013,"процент, в ценах 2010 года",Актюбинская,KZ04,7.9
2014,"процент, в ценах 2010 года",Актюбинская,KZ04,7.6
2015,"процент, в ценах 2010 года",Актюбинская,KZ04,7.8
2016,"процент, в ценах 2010 года",Актюбинская,KZ04,8.9
2017,"процент, в ценах 2010 года",Актюбинская,KZ04,9.3
2018,"процент, в ценах 2010 года",Актюбинская,KZ04,9.6
2010,"процент, в ценах 2010 года",Алматинская,KZ01,17.0
2011,"процент, в ценах 2010 года",Алматинская,KZ01,17.6
2012,"процент, в ценах 2010 года",Алматинская,KZ01,16.5
2013,"процент, в ценах 2010 года",Алматинская,KZ01,15.2
2014,"процент, в ценах 2010 года",Алматинская,KZ01,15.0
2015,"процент, в ценах 2010 года",Алматинская,KZ01,14.9
2016,"процент, в ценах 2010 года",Алматинская,KZ01,14.1
2017,"процент, в ценах 2010 года",Алматинская,KZ01,14.3
2018,"процент, в ценах 2010 года",Алматинская,KZ01,14.1
2010,"процент, в ценах 2010 года",Атырауская,KZ06,5.5
2011,"процент, в ценах 2010 года",Атырауская,KZ06,5.3
2012,"процент, в ценах 2010 года",Атырауская,KZ06,5.2
2013,"процент, в ценах 2010 года",Атырауская,KZ06,5.2
2014,"процент, в ценах 2010 года",Атырауская,KZ06,5.3
2015,"процент, в ценах 2010 года",Атырауская,KZ06,5.1
2016,"процент, в ценах 2010 года",Атырауская,KZ06,5.1
2017,"процент, в ценах 2010 года",Атырауская,KZ06,4.6
2018,"процент, в ценах 2010 года",Атырауская,KZ06,4.3
2010,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,4.7
2011,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,4.8
2012,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,4.8
2013,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,5.6
2014,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,5.3
2015,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,3.9
2016,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,3.9
2017,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,3.9
2018,"процент, в ценах 2010 года",Западно-Казахстанская,KZ07,4.4
2010,"процент, в ценах 2010 года",Жамбылская,KZ17,13.2
2011,"процент, в ценах 2010 года",Жамбылская,KZ17,14.8
2012,"процент, в ценах 2010 года",Жамбылская,KZ17,13.3
2013,"процент, в ценах 2010 года",Жамбылская,KZ17,13.9
2014,"процент, в ценах 2010 года",Жамбылская,KZ17,14.2
2015,"процент, в ценах 2010 года",Жамбылская,KZ17,12.5
2016,"процент, в ценах 2010 года",Жамбылская,KZ17,12.6
2017,"процент, в ценах 2010 года",Жамбылская,KZ17,12.4
2018,"процент, в ценах 2010 года",Жамбылская,KZ17,12.4
2010,"процент, в ценах 2010 года",Карагандинская,KZ12,33.2
2011,"процент, в ценах 2010 года",Карагандинская,KZ12,33.2
2012,"процент, в ценах 2010 года",Карагандинская,KZ12,30.3
2013,"процент, в ценах 2010 года",Карагандинская,KZ12,28.1
2014,"процент, в ценах 2010 года",Карагандинская,KZ12,26.2
2015,"процент, в ценах 2010 года",Карагандинская,KZ12,28.2
2016,"процент, в ценах 2010 года",Карагандинская,KZ12,29.6
2017,"процент, в ценах 2010 года",Карагандинская,KZ12,29.5
2018,"процент, в ценах 2010 года",Карагандинская,KZ12,28.3
2010,"процент, в ценах 2010 года",Костанайская,KZ13,9.5
2011,"процент, в ценах 2010 года",Костанайская,KZ13,8.5
2012,"процент, в ценах 2010 года",Костанайская,KZ13,9.0
2013,"процент, в ценах 2010 года",Костанайская,KZ13,8.8
2014,"процент, в ценах 2010 года",Костанайская,KZ13,9.4
2015,"процент, в ценах 2010 года",Костанайская,KZ13,8.7
2016,"процент, в ценах 2010 года",Костанайская,KZ13,9.4
2017,"процент, в ценах 2010 года",Костанайская,KZ13,9.6
2018,"процент, в ценах 2010 года",Костанайская,KZ13,9.4
2010,"процент, в ценах 2010 года",Кызылординская,KZ14,2.3
2011,"процент, в ценах 2010 года",Кызылординская,KZ14,2.2
2012,"процент, в ценах 2010 года",Кызылординская,KZ14,2.3
2013,"процент, в ценах 2010 года",Кызылординская,KZ14,2.6
2014,"процент, в ценах 2010 года",Кызылординская,KZ14,2.9
2015,"процент, в ценах 2010 года",Кызылординская,KZ14,3.1
2016,"процент, в ценах 2010 года",Кызылординская,KZ14,3.8
2017,"процент, в ценах 2010 года",Кызылординская,KZ14,4.0
2018,"процент, в ценах 2010 года",Кызылординская,KZ14,3.7
2010,"процент, в ценах 2010 года",Мангистауская,KZ09,3.0
2011,"процент, в ценах 2010 года",Мангистауская,KZ09,3.4
2012,"процент, в ценах 2010 года",Мангистауская,KZ09,3.4
2013,"процент, в ценах 2010 года",Мангистауская,KZ09,3.5
2014,"процент, в ценах 2010 года",Мангистауская,KZ09,4.0
2015,"процент, в ценах 2010 года",Мангистауская,KZ09,3.5
2016,"процент, в ценах 2010 года",Мангистауская,KZ09,3.7
2017,"процент, в ценах 2010 года",Мангистауская,KZ09,4.0
2018,"процент, в ценах 2010 года",Мангистауская,KZ09,4.3
2010,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,21.8
2011,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,20.8
2012,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,20.7
2013,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,20.1
2014,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,20.2
2015,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,20.2
2016,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,21.0
2017,"процент, в ценах 2010 года",Южно-Казахстанская,KZ10,21.8
2010,"процент, в ценах 2010 года",Павлодарская,KZ11,28.3
2011,"процент, в ценах 2010 года",Павлодарская,KZ11,26.0
2012,"процент, в ценах 2010 года",Павлодарская,KZ11,25.3
2013,"процент, в ценах 2010 года",Павлодарская,KZ11,25.2
2014,"процент, в ценах 2010 года",Павлодарская,KZ11,24.1
2015,"процент, в ценах 2010 года",Павлодарская,KZ11,23.3
2016,"процент, в ценах 2010 года",Павлодарская,KZ11,23.5
2017,"процент, в ценах 2010 года",Павлодарская,KZ11,23.7
2018,"процент, в ценах 2010 года",Павлодарская,KZ11,24.3
2010,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,8.5
2011,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,7.8
2012,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,8.5
2013,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,8.2
2014,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,7.8
2015,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,7.8
2016,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,7.6
2017,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,8.0
2018,"процент, в ценах 2010 года",Северо-Казахстанская,KZ16,7.8
2010,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,19.8
2011,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,21.4
2012,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,24.2
2013,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,24.1
2014,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,23.8
2015,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,21.6
2016,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,21.6
2017,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,21.6
2018,"процент, в ценах 2010 года",Восточно-Казахстанская,KZ15,22.8
2010,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.0
2011,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.5
2012,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,4.2
2013,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,4.1
2014,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.6
2015,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.6
2016,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.5
2017,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,3.8
2018,"процент, в ценах 2010 года",г_Нур-Султан,KZ05,4.2
2010,"процент, в ценах 2010 года",г_Алматы,KZ02,5.2
2011,"процент, в ценах 2010 года",г_Алматы,KZ02,5.1
2012,"процент, в ценах 2010 года",г_Алматы,KZ02,4.8
2013,"процент, в ценах 2010 года",г_Алматы,KZ02,4.6
2014,"процент, в ценах 2010 года",г_Алматы,KZ02,4.3
2015,"процент, в ценах 2010 года",г_Алматы,KZ02,3.9
