Year,Units,Регионы,GeoCode,Value
2016,"процент, в ценах 2010 года",г_Алматы,KZ02,3.8
2017,"процент, в ценах 2010 года",г_Алматы,KZ02,3.9
2018,"процент, в ценах 2010 года",г_Алматы,KZ02,4.0
2010,"в долларах США, в ценах 2010 года",,,1027.0
2011,"в долларах США, в ценах 2010 года",,,1083.4
2012,"в долларах США, в ценах 2010 года",,,1100.9
2013,"в долларах США, в ценах 2010 года",,,1117.3
2014,"в долларах США, в ценах 2010 года",,,1118.4
2015,"в долларах США, в ценах 2010 года",,,1105.0
2016,"в долларах США, в ценах 2010 года",,,1109.1
2017,"в долларах США, в ценах 2010 года",,,1161.5
2018,"в долларах США, в ценах 2010 года",,,1189.2
2010,"в долларах США, в ценах 2010 года",Акмолинская,,728.0
2011,"в долларах США, в ценах 2010 года",Акмолинская,,817.5
2012,"в долларах США, в ценах 2010 года",Акмолинская,,831.4
2013,"в долларах США, в ценах 2010 года",Акмолинская,,830.6
2014,"в долларах США, в ценах 2010 года",Акмолинская,,902.7
2015,"в долларах США, в ценах 2010 года",Акмолинская,,968.9
2016,"в долларах США, в ценах 2010 года",Акмолинская,,998.8
2017,"в долларах США, в ценах 2010 года",Акмолинская,,1033.7
2018,"в долларах США, в ценах 2010 года",Акмолинская,,1107.3
2010,"в долларах США, в ценах 2010 года",Актюбинская,,821.5
2011,"в долларах США, в ценах 2010 года",Актюбинская,,866.7
2012,"в долларах США, в ценах 2010 года",Актюбинская,,877.3
2013,"в долларах США, в ценах 2010 года",Актюбинская,,942.2
2014,"в долларах США, в ценах 2010 года",Актюбинская,,925.0
2015,"в долларах США, в ценах 2010 года",Актюбинская,,902.8
2016,"в долларах США, в ценах 2010 года",Актюбинская,,1034.2
2017,"в долларах США, в ценах 2010 года",Актюбинская,,1109.8
2018,"в долларах США, в ценах 2010 года",Актюбинская,,1191.2
2010,"в долларах США, в ценах 2010 года",Алматинская,,622.4
2011,"в долларах США, в ценах 2010 года",Алматинская,,680.9
2012,"в долларах США, в ценах 2010 года",Алматинская,,673.4
2013,"в долларах США, в ценах 2010 года",Алматинская,,675.3
2014,"в долларах США, в ценах 2010 года",Алматинская,,694.6
2015,"в долларах США, в ценах 2010 года",Алматинская,,736.9
2016,"в долларах США, в ценах 2010 года",Алматинская,,696.4
2017,"в долларах США, в ценах 2010 года",Алматинская,,720.7
2018,"в долларах США, в ценах 2010 года",Алматинская,,722.6
2010,"в долларах США, в ценах 2010 года",Атырауская,,2014.1
2011,"в долларах США, в ценах 2010 года",Атырауская,,1943.6
2012,"в долларах США, в ценах 2010 года",Атырауская,,1834.8
2013,"в долларах США, в ценах 2010 года",Атырауская,,1869.1
2014,"в долларах США, в ценах 2010 года",Атырауская,,1903.3
2015,"в долларах США, в ценах 2010 года",Атырауская,,1828.8
2016,"в долларах США, в ценах 2010 года",Атырауская,,1871.1
2017,"в долларах США, в ценах 2010 года",Атырауская,,1905.3
2018,"в долларах США, в ценах 2010 года",Атырауская,,2016.1
2010,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,549.8
2011,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,584.9
2012,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,597.6
2013,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,712.5
2014,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,710.8
2015,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,507.4
2016,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,524.5
2017,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,535.5
2018,"в долларах США, в ценах 2010 года",Западно-Казахстанская,,591.5
2010,"в долларах США, в ценах 2010 года",Жамбылская,,384.0
2011,"в долларах США, в ценах 2010 года",Жамбылская,,482.3
2012,"в долларах США, в ценах 2010 года",Жамбылская,,468.4
2013,"в долларах США, в ценах 2010 года",Жамбылская,,501.1
2014,"в долларах США, в ценах 2010 года",Жамбылская,,506.1
2015,"в долларах США, в ценах 2010 года",Жамбылская,,441.2
2016,"в долларах США, в ценах 2010 года",Жамбылская,,453.1
2017,"в долларах США, в ценах 2010 года",Жамбылская,,461.1
2018,"в долларах США, в ценах 2010 года",Жамбылская,,473.4
2010,"в долларах США, в ценах 2010 года",Карагандинская,,3122.5
2011,"в долларах США, в ценах 2010 года",Карагандинская,,3300.5
2012,"в долларах США, в ценах 2010 года",Карагандинская,,3028.8
2013,"в долларах США, в ценах 2010 года",Карагандинская,,3007.0
2014,"в долларах США, в ценах 2010 года",Карагандинская,,2878.9
2015,"в долларах США, в ценах 2010 года",Карагандинская,,3166.2
2016,"в долларах США, в ценах 2010 года",Карагандинская,,3391.0
2017,"в долларах США, в ценах 2010 года",Карагандинская,,3512.8
2018,"в долларах США, в ценах 2010 года",Карагандинская,,3478.5
2010,"в долларах США, в ценах 2010 года",Костанайская,,628.0
2011,"в долларах США, в ценах 2010 года",Костанайская,,640.0
2012,"в долларах США, в ценах 2010 года",Костанайская,,634.3
2013,"в долларах США, в ценах 2010 года",Костанайская,,685.2
2014,"в долларах США, в ценах 2010 года",Костанайская,,744.9
2015,"в долларах США, в ценах 2010 года",Костанайская,,670.1
2016,"в долларах США, в ценах 2010 года",Костанайская,,705.9
2017,"в долларах США, в ценах 2010 года",Костанайская,,756.2
2018,"в долларах США, в ценах 2010 года",Костанайская,,803.3
2010,"в долларах США, в ценах 2010 года",Кызылординская,,194.8
2011,"в долларах США, в ценах 2010 года",Кызылординская,,194.1
2012,"в долларах США, в ценах 2010 года",Кызылординская,,201.7
2013,"в долларах США, в ценах 2010 года",Кызылординская,,232.1
2014,"в долларах США, в ценах 2010 года",Кызылординская,,250.8
2015,"в долларах США, в ценах 2010 года",Кызылординская,,252.3
2016,"в долларах США, в ценах 2010 года",Кызылординская,,297.5
2017,"в долларах США, в ценах 2010 года",Кызылординская,,309.4
2018,"в долларах США, в ценах 2010 года",Кызылординская,,284.1
2010,"в долларах США, в ценах 2010 года",Мангистауская,,588.3
2011,"в долларах США, в ценах 2010 года",Мангистауская,,631.9
2012,"в долларах США, в ценах 2010 года",Мангистауская,,613.0
2013,"в долларах США, в ценах 2010 года",Мангистауская,,650.7
2014,"в долларах США, в ценах 2010 года",Мангистауская,,745.4
2015,"в долларах США, в ценах 2010 года",Мангистауская,,631.9
2016,"в долларах США, в ценах 2010 года",Мангистауская,,654.8
2017,"в долларах США, в ценах 2010 года",Мангистауская,,677.2
2018,"в долларах США, в ценах 2010 года",Мангистауская,,738.4
2010,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,703.3
2011,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,688.5
2012,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,697.7
2013,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,684.3
2014,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,689.9
2015,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,687.8
2016,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,715.3
2017,"в долларах США, в ценах 2010 года",Южно-Казахстанская,,755.3
2010,"в долларах США, в ценах 2010 года",Павлодарская,,2660.1
2011,"в долларах США, в ценах 2010 года",Павлодарская,,2694.6
2012,"в долларах США, в ценах 2010 года",Павлодарская,,2830.3
2013,"в долларах США, в ценах 2010 года",Павлодарская,,2814.3
2014,"в долларах США, в ценах 2010 года",Павлодарская,,2707.9
2015,"в долларах США, в ценах 2010 года",Павлодарская,,2612.2
2016,"в долларах США, в ценах 2010 года",Павлодарская,,2614.8
2017,"в долларах США, в ценах 2010 года",Павлодарская,,2753.2
2018,"в долларах США, в ценах 2010 года",Павлодарская,,2912.8
2010,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,455.6
2011,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,486.1
2012,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,502.0
2013,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,528.0
2014,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,534.8
2015,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,541.2
2016,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,535.3
2017,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,589.1
2018,"в долларах США, в ценах 2010 года",Северо-Казахстанская,,596.8
2010,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1198.7
2011,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1386.9
2012,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1770.5
2013,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1889.2
2014,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1913.2
2015,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1739.4
2016,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1778.9
2017,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,1814.9
2018,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,,2030.6
2010,"в долларах США, в ценах 2010 года",г_Нур-Султан,,528.2
2011,"в долларах США, в ценах 2010 года",г_Нур-Султан,,637.6
2012,"в долларах США, в ценах 2010 года",г_Нур-Султан,,826.1
2013,"в долларах США, в ценах 2010 года",г_Нур-Султан,,856.8
2014,"в долларах США, в ценах 2010 года",г_Нур-Султан,,786.5
2015,"в долларах США, в ценах 2010 года",г_Нур-Султан,,798.1
2016,"в долларах США, в ценах 2010 года",г_Нур-Султан,,750.1
2017,"в долларах США, в ценах 2010 года",г_Нур-Султан,,768.0
2018,"в долларах США, в ценах 2010 года",г_Нур-Султан,,793.4
2010,"в долларах США, в ценах 2010 года",г_Алматы,,978.3
2011,"в долларах США, в ценах 2010 года",г_Алматы,,1033.1
2012,"в долларах США, в ценах 2010 года",г_Алматы,,1043.9
2013,"в долларах США, в ценах 2010 года",г_Алматы,,1107.5
2014,"в долларах США, в ценах 2010 года",г_Алматы,,1068.4
2015,"в долларах США, в ценах 2010 года",г_Алматы,,951.9
2016,"в долларах США, в ценах 2010 года",г_Алматы,,923.6
2017,"в долларах США, в ценах 2010 года",г_Алматы,,942.1
2018,"в долларах США, в ценах 2010 года",г_Алматы,,958.8
