Year,Observation status,Area,Unit measure,Unit multiplier,Value
2007,Normal value,,Percent,Units,9.3
2008,Normal value,,Percent,Units,7.9
2009,Normal value,,Percent,Units,8.0
2010,Normal value,,Percent,Units,7.8
2011,Normal value,,Percent,Units,8.1
2012,Normal value,,Percent,Units,7.7
2013,Normal value,,Percent,Units,7.1
2014,Normal value,,Percent,Units,6.6
2015,Normal value,,Percent,Units,6.4
2016,Normal value,,Percent,Units,5.9
2017,Normal value,,Percent,Units,6.1
2018,Normal value,,Percent,Units,5.9
