Year,Units,Value
2010,на 100 000 человек,0.12
2011,на 100 000 человек,0.12
2012,на 100 000 человек,0.13
2013,на 100 000 человек,0.15
2014,на 100 000 человек,1.3
2015,на 100 000 человек,0.2
2016,на 100 000 человек,0.83
2017,на 100 000 человек,0.86
2018,на 100 000 человек,0.81
