Year,Units,Регион,Город,Скорость Интернета,Value
2016,тысяч единиц,,,,7.845
2017,тысяч единиц,,,,3.929
2018,тысяч единиц,,,,3.0
2012,тысяч единиц,,,,17.883
2013,тысяч единиц,,,,8.111
2014,тысяч единиц,,,,5.314
2015,тысяч единиц,,,,3.253
2016,тысяч единиц,,,,11.965
2017,тысяч единиц,,,,5.782
2018,тысяч единиц,,,,7.1
2012,тысяч единиц,,,,31.838
2013,тысяч единиц,,,,0.871
2014,тысяч единиц,,,,13.182
2015,тысяч единиц,,,,13.721
2016,тысяч единиц,,,,7.13
2017,тысяч единиц,,,,4.078
2012,тысяч единиц,,,,26.77
2013,тысяч единиц,,,,23.652
2014,тысяч единиц,,,,15.633
2015,тысяч единиц,,,,11.552
2016,тысяч единиц,,,,5.009
2017,тысяч единиц,,,,0.885
2018,тысяч единиц,,,,6.0
2012,тысяч единиц,Северо-Казахстанская,,,26.618
2013,тысяч единиц,Северо-Казахстанская,,,24.536
2014,тысяч единиц,Северо-Казахстанская,,,22.419
2015,тысяч единиц,Северо-Казахстанская,,,17.861
2016,тысяч единиц,Северо-Казахстанская,,,17.778
2017,тысяч единиц,Северо-Казахстанская,,,4.858
2018,тысяч единиц,Северо-Казахстанская,,,1.2
2018,тысяч единиц,,,,2.5
2012,тысяч единиц,,,,16.867
2013,тысяч единиц,,,,22.431
2014,тысяч единиц,,,,12.795
2015,тысяч единиц,,,,9.195
2016,тысяч единиц,,,,28.482
2017,тысяч единиц,,,,3.033
2018,тысяч единиц,,,,3.4
2012,тысяч единиц,,г. Астана,,21.654
2013,тысяч единиц,,г. Астана,,18.036
2014,тысяч единиц,,г. Астана,,40.52
2015,тысяч единиц,,г. Астана,,53.187
2016,тысяч единиц,,г. Астана,,23.656
2017,тысяч единиц,,г. Астана,,21.684
2018,тысяч единиц,,г. Астана,,41.6
2012,тысяч единиц,,г. Алматы,,62.683
2013,тысяч единиц,,г. Алматы,,62.34
2014,тысяч единиц,,г. Алматы,,42.565
2015,тысяч единиц,,г. Алматы,,56.764
2016,тысяч единиц,,г. Алматы,,29.465
2017,тысяч единиц,,г. Алматы,,4.98
2018,тысяч единиц,,г. Алматы,,3.2
2018,тысяч единиц,,г. Шымкент,,0.2
2012,тысяч единиц,,,,720.799
2013,тысяч единиц,,,,906.56
2014,тысяч единиц,,,,881.354
2015,тысяч единиц,,,,767.081
2016,тысяч единиц,,,,837.673
2017,тысяч единиц,,,,987.345
2018,тысяч единиц,,,,1602.6
2012,тысяч единиц,Акмолинская,,,34.889
2013,тысяч единиц,Акмолинская,,,41.446
2014,тысяч единиц,Акмолинская,,,52.33
2015,тысяч единиц,Акмолинская,,,54.566
2016,тысяч единиц,Акмолинская,,,68.49
2017,тысяч единиц,Акмолинская,,,73.509
2018,тысяч единиц,Акмолинская,,,75.2
2012,тысяч единиц,,,,38.459
2013,тысяч единиц,,,,40.462
2014,тысяч единиц,,,,45.756
2015,тысяч единиц,,,,40.354
2016,тысяч единиц,,,,42.023
2017,тысяч единиц,,,,49.53
2018,тысяч единиц,,,,50.1
2012,тысяч единиц,,,,4.509
2013,тысяч единиц,,,,83.144
2014,тысяч единиц,,,,76.887
2015,тысяч единиц,,,,79.564
2016,тысяч единиц,,,,104.597
2017,тысяч единиц,,,,123.23
2018,тысяч единиц,,,,129.1
2012,тысяч единиц,,,,40.305
2013,тысяч единиц,,,,45.944
2014,тысяч единиц,,,,44.67
2015,тысяч единиц,,,,42.469
2016,тысяч единиц,,,,44.698
2017,тысяч единиц,,,,49.006
2018,тысяч единиц,,,,53.4
2012,тысяч единиц,Западно-Казахстанская,,,26.38
2013,тысяч единиц,Западно-Казахстанская,,,25.82
2014,тысяч единиц,Западно-Казахстанская,,,21.539
2015,тысяч единиц,Западно-Казахстанская,,,18.886
2016,тысяч единиц,Западно-Казахстанская,,,22.556
2017,тысяч единиц,Западно-Казахстанская,,,26.275
2018,тысяч единиц,Западно-Казахстанская,,,26.9
2012,тысяч единиц,,,,24.341
2013,тысяч единиц,,,,31.027
2014,тысяч единиц,,,,30.144
2015,тысяч единиц,,,,26.918
2016,тысяч единиц,,,,37.131
2017,тысяч единиц,,,,41.705
2018,тысяч единиц,,,,45.4
2012,тысяч единиц,,,,26.67
2013,тысяч единиц,,,,101.539
2014,тысяч единиц,,,,86.923
2015,тысяч единиц,,,,71.503
2016,тысяч единиц,,,,74.639
2017,тысяч единиц,,,,83.6
2018,тысяч единиц,,,,81.1
2012,тысяч единиц,,,,51.258
2013,тысяч единиц,,,,79.25
2014,тысяч единиц,,,,64.502
2015,тысяч единиц,,,,45.711
2016,тысяч единиц,,,,45.978
2017,тысяч единиц,,,,66.35
2018,тысяч единиц,,,,70.0
2012,тысяч единиц,,,,15.625
2013,тысяч единиц,,,,21.661
2014,тысяч единиц,,,,20.869
2015,тысяч единиц,,,,19.32
2016,тысяч единиц,,,,24.836
2017,тысяч единиц,,,,33.868
2018,тысяч единиц,,,,38.3
2012,тысяч единиц,,,,18.07
