Year,Units,Value
2010,млн_тенге,3715.6
2011,млн_тенге,4493.3
2012,млн_тенге,6146.6
2013,млн_тенге,7347.6
2014,млн_тенге,7362.5
2015,млн_тенге,6842.6
2016,млн_тенге,8149.6
2017,млн_тенге,8045.2
2018,млн_тенге,8566.2
