Year,Units,Category,Value
2015,mln. dram,domestic material consumption,3915973.0
2016,mln. dram,domestic material consumption,3892686.4
2017,mln. dram,domestic material consumption,4415175.5
2018,mln. dram,domestic material consumption,4760883.6
2015,dram,domestic material consumption per capita,1303326.0
2016,dram,domestic material consumption per capita,1300901.0
2017,dram,domestic material consumption per capita,1481900.9
2018,dram,domestic material consumption per capita,1603531.0
2015,%,domestic material consumption per GDP,77.6
2016,%,domestic material consumption per GDP,76.8
2017,%,domestic material consumption per GDP,79.3
2018,%,domestic material consumption per GDP,79.3
