Year,Units,Регионы,GeoCode,Value
2010,"в процентах к 
предыдущему году",,,103.7
2011,"в процентах к 
предыдущему году",,,105.0
2012,"в процентах к 
предыдущему году",,,102.5
2013,"в процентах к 
предыдущему году",,,105.1
2014,"в процентах к 
предыдущему году",,,104.6
2015,"в процентах к 
предыдущему году",,,100.6
2016,"в процентах к 
предыдущему году",,,100.2
2017,"в процентах к 
предыдущему году",,,104.4
2018,"в процентах к 
предыдущему году",,,103.4
2011,"в процентах к 
предыдущему году",Акмолинская,KZ03,115.1
2012,"в процентах к 
предыдущему году",Акмолинская,KZ03,94.6
2013,"в процентах к 
предыдущему году",Акмолинская,KZ03,104.1
2014,"в процентах к 
предыдущему году",Акмолинская,KZ03,103.7
2015,"в процентах к 
предыдущему году",Акмолинская,KZ03,102.3
2016,"в процентах к 
предыдущему году",Акмолинская,KZ03,101.7
2017,"в процентах к 
предыдущему году",Акмолинская,KZ03,105.2
2018,"в процентах к 
предыдущему году",Акмолинская,KZ03,105.7
2011,"в процентах к 
предыдущему году",Актюбинская,KZ04,101.8
2012,"в процентах к 
предыдущему году",Актюбинская,KZ04,104.7
2013,"в процентах к 
предыдущему году",Актюбинская,KZ04,103.7
2014,"в процентах к 
предыдущему году",Актюбинская,KZ04,104.8
2015,"в процентах к 
предыдущему году",Актюбинская,KZ04,95.0
2016,"в процентах к 
предыдущему году",Актюбинская,KZ04,102.4
2017,"в процентах к 
предыдущему году",Актюбинская,KZ04,105.2
2018,"в процентах к 
предыдущему году",Актюбинская,KZ04,103.7
2011,"в процентах к 
предыдущему году",Алматинская,KZ01,102.3
2012,"в процентах к 
предыдущему году",Алматинская,KZ01,100.0
2013,"в процентах к 
предыдущему году",Алматинская,KZ01,108.1
2014,"в процентах к 
предыдущему году",Алматинская,KZ01,102.9
2015,"в процентах к 
предыдущему году",Алматинская,KZ01,108.0
2016,"в процентах к 
предыдущему году",Алматинская,KZ01,99.5
2017,"в процентах к 
предыдущему году",Алматинская,KZ01,104.2
2018,"в процентах к 
предыдущему году",Алматинская,KZ01,102.8
2011,"в процентах к 
предыдущему году",Атырауская,KZ06,97.8
2012,"в процентах к 
предыдущему году",Атырауская,KZ06,94.7
2013,"в процентах к 
предыдущему году",Атырауская,KZ06,102.1
2014,"в процентах к 
предыдущему году",Атырауская,KZ06,99.3
2015,"в процентах к 
предыдущему году",Атырауская,KZ06,100.9
2016,"в процентах к 
предыдущему году",Атырауская,KZ06,104.0
2017,"в процентах к 
предыдущему году",Атырауская,KZ06,114.4
2018,"в процентах к 
предыдущему году",Атырауская,KZ06,114.8
2011,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,104.0
2012,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,105.1
2013,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,102.3
2014,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,104.8
2015,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,99.7
2016,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,101.9
2017,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,102.9
2018,"в процентах к 
предыдущему году",Западно-Казахстанская,KZ07,99.7
2011,"в процентах к 
предыдущему году",Жамбылская,KZ17,112.4
2012,"в процентах к 
предыдущему году",Жамбылская,KZ17,110.0
2013,"в процентах к 
предыдущему году",Жамбылская,KZ17,104.6
2014,"в процентах к 
предыдущему году",Жамбылская,KZ17,104.0
2015,"в процентах к 
предыдущему году",Жамбылская,KZ17,104.1
2016,"в процентах к 
предыдущему году",Жамбылская,KZ17,103.1
