Year,Units,Value
2010,на 100 000 человек,1.97
2011,на 100 000 человек,1.95
2012,на 100 000 человек,1.96
2013,на 100 000 человек,1.24
2014,на 100 000 человек,1.97
2015,на 100 000 человек,1.3
2016,на 100 000 человек,1.6
2017,на 100 000 человек,2.08
2018,на 100 000 человек,2.45
