Year,Units,Location,Value
2015,%,,99.6
2016,%,,99.8
2017,%,,99.7
2018,%,,99.9
2019,%,,100.0
2020,%,,100.0
2015,%,urban,95.5
2016,%,urban,99.8
2017,%,urban,99.8
2018,%,urban,99.9
2019,%,urban,100.0
2020,%,urban,100.0
2015,%,rural,96.7
2016,%,rural,99.7
2017,%,rural,99.7
2018,%,rural,99.9
2019,%,rural,100.0
2020,%,rural,100.0
