Year,Units,Регионы,Value
2010,,Акмолинская,44.0
2011,,Акмолинская,49.0
2012,,Акмолинская,54.0
2013,,Акмолинская,60.0
2014,,Акмолинская,65.0
2015,,Акмолинская,66.0
2016,,Акмолинская,66.6
2017,,Акмолинская,67.1
2018,,Акмолинская,70.3
2013,,Актюбинская,48.9
2014,,Актюбинская,44.5
2015,,Актюбинская,46.3
2016,,Актюбинская,48.0
2017,,Актюбинская,49.5
2018,,Актюбинская,53.0
2010,,Алматинская,58.0
2011,,Алматинская,60.2
2012,,Алматинская,64.0
2013,,Алматинская,69.6
2014,,Алматинская,74.6
2015,,Алматинская,77.6
2016,,Алматинская,77.8
2017,,Алматинская,78.0
2018,,Алматинская,78.1
2010,,Атырауская,24.0
2011,,Атырауская,30.0
2012,,Атырауская,32.0
2013,,Атырауская,37.0
2014,,Атырауская,42.0
2015,,Атырауская,47.0
2016,,Атырауская,49.0
2017,,Атырауская,51.0
2018,,Атырауская,54.0
2013,,Западно-Казахстанская,23.0
2014,,Западно-Казахстанская,24.0
2015,,Западно-Казахстанская,26.0
2016,,Западно-Казахстанская,27.6
2017,,Западно-Казахстанская,28.0
2018,,Западно-Казахстанская,28.7
2014,,Жамбылская,70.0
2015,,Жамбылская,74.0
2016,,Жамбылская,75.5
2017,,Жамбылская,77.0
2018,,Жамбылская,80.1
2010,,Карагандинская,73.0
2011,,Карагандинская,73.0
2012,,Карагандинская,73.0
2013,,Карагандинская,73.5
2014,,Карагандинская,74.0
2015,,Карагандинская,74.5
2016,,Карагандинская,75.0
2017,,Карагандинская,75.5
2018,,Карагандинская,76.0
2010,,Костанайская,50.0
2011,,Костанайская,52.0
2012,,Костанайская,54.0
2013,,Костанайская,58.0
2014,,Костанайская,59.0
2015,,Костанайская,62.0
2016,,Костанайская,62.0
2017,,Костанайская,64.0
2018,,Костанайская,66.0
2010,,Кызылординская,54.0
2011,,Кызылординская,57.0
2012,,Кызылординская,60.0
2013,,Кызылординская,54.0
2014,,Кызылординская,57.0
2015,,Кызылординская,62.0
2016,,Кызылординская,62.6
2017,,Кызылординская,63.0
2018,,Кызылординская,63.5
2010,,Мангистауская,59.0
2011,,Мангистауская,59.0
2012,,Мангистауская,64.0
2013,,Мангистауская,67.0
2014,,Мангистауская,77.0
2015,,Мангистауская,84.0
2016,,Мангистауская,92.0
2017,,Мангистауская,92.0
2018,,Мангистауская,92.0
2011,,Павлодарская,67.0
2012,,Павлодарская,69.0
2013,,Павлодарская,71.0
2014,,Павлодарская,74.0
2015,,Павлодарская,76.0
2016,,Павлодарская,77.0
2017,,Павлодарская,78.1
2018,,Павлодарская,80.0
2010,,Северо-Казахстанская,40.0
2011,,Северо-Казахстанская,42.0
2012,,Северо-Казахстанская,46.0
2013,,Северо-Казахстанская,50.0
2014,,Северо-Казахстанская,51.0
2015,,Северо-Казахстанская,53.0
2016,,Северо-Казахстанская,55.0
2017,,Северо-Казахстанская,58.0
2018,,Северо-Казахстанская,61.0
2010,,Туркестанская,49.0
2011,,Туркестанская,50.0
2012,,Туркестанская,67.5
2013,,Туркестанская,70.0
2014,,Туркестанская,74.5
2015,,Туркестанская,77.0
2016,,Туркестанская,64.0
2017,,Туркестанская,64.4
2018,,Туркестанская,71.2
2011,,Восточно-Казахстанская,66.0
2012,,Восточно-Казахстанская,68.0
2013,,Восточно-Казахстанская,74.0
2014,,Восточно-Казахстанская,75.0
2015,,Восточно-Казахстанская,76.0
2016,,Восточно-Казахстанская,76.5
2017,,Восточно-Казахстанская,77.0
2018,,Восточно-Казахстанская,78.1
2015,,г.Нур-Султан,71.1
2016,,г.Нур-Султан,74.5
2017,,г.Нур-Султан,79.3
2018,,г.Нур-Султан,76.0
2011,,г.Алматы,28.0
2012,,г.Алматы,34.0
2013,,г.Алматы,37.0
2014,,г.Алматы,43.0
2015,,г.Алматы,65.0
2016,,г.Алматы,60.0
2017,,г.Алматы,65.0
2018,,г.Алматы,70.0
2014,,г.Шымкент,30.7
2015,,г.Шымкент,40.4
2016,,г.Шымкент,41.4
2017,,г.Шымкент,46.5
2018,,г.Шымкент,53.7
