Year,Units,Value
2010,единиц,7.78
2011,единиц,8.18
2012,единиц,8.1
2013,единиц,7.93
2014,единиц,8.15
2015,единиц,8.14
2016,единиц,8.51
2017,единиц,7.95
2018,единиц,8.26
