Year,Units,Вид частиц РМ,Регионы,Город,Value
2018,мг/метр куб,,,г.Актау,0.009
2015,мг/метр куб,,,п.Бейнеу,0.017
2016,мг/метр куб,,,п.Бейнеу,0.01
2017,мг/метр куб,,,п.Бейнеу,0.01
2018,мг/метр куб,,,п.Бейнеу,0.005
2015,мг/метр куб,,,г.Павлодар,0.016
2016,мг/метр куб,,,г.Павлодар,0.008
2017,мг/метр куб,,,г.Павлодар,0.0053
2018,мг/метр куб,,,г.Павлодар,0.0046
2015,мг/метр куб,,,г.Экибастуз,0.015
2016,мг/метр куб,,,г.Экибастуз,0.02
2017,мг/метр куб,,,г.Экибастуз,0.01
2018,мг/метр куб,,,г.Экибастуз,0.0
2015,мг/метр куб,,,г.Петропавловск,0.009
2016,мг/метр куб,,,г.Петропавловск,0.01
2017,мг/метр куб,,,г.Петропавловск,0.016
2018,мг/метр куб,,,г.Петропавловск,0.01
2015,мг/метр куб,,г.Шымкент,г.Аксу,0.019
2016,мг/метр куб,,г.Шымкент,г.Аксу,0.0
2017,мг/метр куб,,г.Шымкент,г.Аксу,0.04
2018,мг/метр куб,,г.Шымкент,г.Аксу,0.04
2015,мг/метр куб,,,г.Кентау,0.011
2016,мг/метр куб,,,г.Кентау,0.0
2017,мг/метр куб,,,г.Кентау,0.0
2018,мг/метр куб,,,г.Кентау,0.006
2014,мг/метр куб,взвешенные частицы РМ-10,г.Нур-Султан,,0.018
2015,мг/метр куб,взвешенные частицы РМ-10,г.Нур-Султан,,0.056
2016,мг/метр куб,взвешенные частицы РМ-10,г.Нур-Султан,,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,г.Нур-Султан,,0.06
2018,мг/метр куб,взвешенные частицы РМ-10,г.Нур-Султан,,0.02
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Кокшетау,0.268
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Кокшетау,0.1156
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Кокшетау,0.002
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Кокшетау,0.002
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Кокшетау,0.004
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Степногорск,0.0184
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Степногорск,0.008
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Степногорск,0.003
2014,мг/метр куб,взвешенные частицы РМ-10,,СКФМ «Боровое»,0.0709
2015,мг/метр куб,взвешенные частицы РМ-10,,СКФМ «Боровое»,0.029
2016,мг/метр куб,взвешенные частицы РМ-10,,СКФМ «Боровое»,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,СКФМ «Боровое»,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,СКФМ «Боровое»,0.05
2014,мг/метр куб,взвешенные частицы РМ-10,,ЩБКЗ,0.0585
2015,мг/метр куб,взвешенные частицы РМ-10,,ЩБКЗ,0.076
2016,мг/метр куб,взвешенные частицы РМ-10,,ЩБКЗ,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,,ЩБКЗ,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,ЩБКЗ,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Сарыбулак,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Сарыбулак,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Сарыбулак,0.01
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Актобе,0.039
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Актобе,0.049
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Актобе,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Актобе,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Актобе,0.028
2014,мг/метр куб,взвешенные частицы РМ-10,г.Алматы,,0.012
2015,мг/метр куб,взвешенные частицы РМ-10,г.Алматы,,0.06
2016,мг/метр куб,взвешенные частицы РМ-10,г.Алматы,,0.05
2017,мг/метр куб,взвешенные частицы РМ-10,г.Алматы,,0.3
2018,мг/метр куб,взвешенные частицы РМ-10,г.Алматы,,0.03
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Талдыкорган,0.082
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Талдыкорган,0.241
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Талдыкорган,0.1
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Атырау,0.456
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Атырау,0.043
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Атырау,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Атырау,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Атырау,0.022
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Кульсары,0.0212
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Кульсары,0.033
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Кульсары,0.0
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Усть-Каменогорск,0.092
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Усть-Каменогорск,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Усть-Каменогорск,0.0
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Усть-Каменогорск,0.5
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Усть-Каменогорск,0.04
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Риддер,0.154
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Риддер,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Риддер,0.0
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Риддер,0.06
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Риддер,0.04
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Семей,0.215
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Семей,0.021
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Семей,0.024
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Семей,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Семей,0.03
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Глубокое,0.0347
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Глубокое,0.0553
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Глубокое,0.022
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Глубокое,0.03
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Зыряновск,0.013
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Зыряновск,0.0003
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Зыряновск,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Зыряновск,3e-05
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Тараз,0.047
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Тараз,0.045
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Тараз,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Тараз,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Тараз,0.028
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Жанатас,0.034
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Жанатас,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Жанатас,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Жанатас,0.03
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Каратау,0.005
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Каратау,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Каратау,0.06
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Каратау,0.06
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Чу,0.082
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Чу,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Чу,0.1
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Чу,0.06
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Кордай,0.052
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Кордай,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Кордай,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Кордай,0.011
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Уральск,0.027
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Уральск,0.0626
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Уральск,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Уральск,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Уральск,0.01
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Аксай,0.016
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Аксай,0.035
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Аксай,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Аксай,0.011
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Аксай,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Березовка,0.0244
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Березовка,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Березовка,0.01
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Январцево,0.0238
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Январцево,0.007
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Караганда,0.023
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Караганда,0.053
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Караганда,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Караганда,0.1
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Караганда,0.11
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Балхаш,0.0357
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Балхаш,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Балхаш,0.03
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Жезказган,0.005
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Жезказган,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Жезказган,0.03
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Сарань,0.0421
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Сарань,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Сарань,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Сарань,0.02
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Темиртау,0.002
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Темиртау,0.0
