Year,Units,Официальная помощь для развития,Value
2015,млн_долларов США,Казахстан-получатель,2.946629
2016,млн_долларов США,Казахстан-получатель,3.563592
2017,млн_долларов США,Казахстан-получатель,4.701934
2016,млн_долларов США,Казахстан-донор,1.91
2017,млн_долларов США,Казахстан-донор,0.049169
