Year,Units,Location,Value
2015,%,,58.8
2016,%,,57.1
2017,%,,57.0
2018,%,,59.3
2019,%,,69.2
2020,%,,82.0
2015,%,urban,82.5
2016,%,urban,81.3
2017,%,urban,84.0
2018,%,urban,85.1
2019,%,urban,92.9
2020,%,urban,108.7
2015,%,rural,15.5
2016,%,rural,13.3
2017,%,rural,14.5
2018,%,rural,17.2
2019,%,rural,31.5
2020,%,rural,43.7
