Year,Units,Официальная помощь для развития,Value
2015,млн_долларов США,Казахстан-получатель,0.167596
2016,млн_долларов США,Казахстан-получатель,0.219449
2017,млн_долларов США,Казахстан-получатель,0.712969
2015,млн_долларов США,Казахстан-донор,0.00729
2016,млн_долларов США,Казахстан-донор,0.010404
2017,млн_долларов США,Казахстан-донор,0.003098
