Year,Units,Регионы,GeoCode,Value
2010,тыс_тенге,,,428.8
2011,тыс_тенге,,,641.6
2012,тыс_тенге,,,612.2
2013,тыс_тенге,,,781.9
2014,тыс_тенге,,,1070.2
2015,тыс_тенге,,,1242.3
2016,тыс_тенге,,,1401.9
2017,тыс_тенге,,,1636.2
2018,тыс_тенге,,,1913.9
2010,тыс_тенге,Акмолинская,KZ03,499.9
2011,тыс_тенге,Акмолинская,KZ03,1146.2
2012,тыс_тенге,Акмолинская,KZ03,682.4
2013,тыс_тенге,Акмолинская,KZ03,1018.0
2014,тыс_тенге,Акмолинская,KZ03,1075.3
2015,тыс_тенге,Акмолинская,KZ03,1216.0
2016,тыс_тенге,Акмолинская,KZ03,1365.9
2017,тыс_тенге,Акмолинская,KZ03,1558.5
2018,тыс_тенге,Акмолинская,KZ03,1797.5
2010,тыс_тенге,Актюбинская,KZ04,478.3
2011,тыс_тенге,Актюбинская,KZ04,847.3
2012,тыс_тенге,Актюбинская,KZ04,1035.1
2013,тыс_тенге,Актюбинская,KZ04,1465.2
2014,тыс_тенге,Актюбинская,KZ04,1910.7
2015,тыс_тенге,Актюбинская,KZ04,1732.3
2016,тыс_тенге,Актюбинская,KZ04,1964.8
2017,тыс_тенге,Актюбинская,KZ04,2528.3
2018,тыс_тенге,Актюбинская,KZ04,3830.8
2010,тыс_тенге,Алматинская,KZ01,387.2
2011,тыс_тенге,Алматинская,KZ01,431.0
2012,тыс_тенге,Алматинская,KZ01,444.3
2013,тыс_тенге,Алматинская,KZ01,612.3
2014,тыс_тенге,Алматинская,KZ01,893.4
2015,тыс_тенге,Алматинская,KZ01,1088.2
2016,тыс_тенге,Алматинская,KZ01,1135.9
2017,тыс_тенге,Алматинская,KZ01,1365.9
2018,тыс_тенге,Алматинская,KZ01,1728.5
2010,тыс_тенге,Атырауская,KZ06,866.7
2011,тыс_тенге,Атырауская,KZ06,1172.5
2012,тыс_тенге,Атырауская,KZ06,2271.6
2013,тыс_тенге,Атырауская,KZ06,4017.8
2014,тыс_тенге,Атырауская,KZ06,4021.6
2015,тыс_тенге,Атырауская,KZ06,5158.1
2016,тыс_тенге,Атырауская,KZ06,5338.7
2017,тыс_тенге,Атырауская,KZ06,6124.9
2018,тыс_тенге,Атырауская,KZ06,6686.4
2010,тыс_тенге,Западно-Казахстанская,KZ07,345.9
2011,тыс_тенге,Западно-Казахстанская,KZ07,487.3
2012,тыс_тенге,Западно-Казахстанская,KZ07,528.9
2013,тыс_тенге,Западно-Казахстанская,KZ07,633.0
2014,тыс_тенге,Западно-Казахстанская,KZ07,768.5
2015,тыс_тенге,Западно-Казахстанская,KZ07,831.9
2016,тыс_тенге,Западно-Казахстанская,KZ07,993.5
2017,тыс_тенге,Западно-Казахстанская,KZ07,1042.3
2018,тыс_тенге,Западно-Казахстанская,KZ07,1104.1
2010,тыс_тенге,Жамбылская,KZ17,233.6
2011,тыс_тенге,Жамбылская,KZ17,314.5
2012,тыс_тенге,Жамбылская,KZ17,348.1
2013,тыс_тенге,Жамбылская,KZ17,421.3
2014,тыс_тенге,Жамбылская,KZ17,799.6
2015,тыс_тенге,Жамбылская,KZ17,824.5
2016,тыс_тенге,Жамбылская,KZ17,925.6
2017,тыс_тенге,Жамбылская,KZ17,902.7
2018,тыс_тенге,Жамбылская,KZ17,959.1
2010,тыс_тенге,Карагандинская,KZ12,463.5
2011,тыс_тенге,Карагандинская,KZ12,594.5
2012,тыс_тенге,Карагандинская,KZ12,827.7
2013,тыс_тенге,Карагандинская,KZ12,1147.9
2014,тыс_тенге,Карагандинская,KZ12,1569.7
2015,тыс_тенге,Карагандинская,KZ12,1949.0
2016,тыс_тенге,Карагандинская,KZ12,2176.8
2017,тыс_тенге,Карагандинская,KZ12,2938.1
2018,тыс_тенге,Карагандинская,KZ12,3181.1
2010,тыс_тенге,Костанайская,KZ13,712.3
2011,тыс_тенге,Костанайская,KZ13,1214.0
2012,тыс_тенге,Костанайская,KZ13,615.7
2013,тыс_тенге,Костанайская,KZ13,784.5
2014,тыс_тенге,Костанайская,KZ13,886.7
2015,тыс_тенге,Костанайская,KZ13,979.5
2016,тыс_тенге,Костанайская,KZ13,1080.3
2017,тыс_тенге,Костанайская,KZ13,1356.7
2018,тыс_тенге,Костанайская,KZ13,1673.9
2010,тыс_тенге,Кызылординская,KZ14,656.3
2011,тыс_тенге,Кызылординская,KZ14,646.7
2012,тыс_тенге,Кызылординская,KZ14,1007.7
2013,тыс_тенге,Кызылординская,KZ14,1047.8
2014,тыс_тенге,Кызылординская,KZ14,1106.9
2015,тыс_тенге,Кызылординская,KZ14,1394.6
2016,тыс_тенге,Кызылординская,KZ14,1174.7
