Year,Units,Value
2015,"yes=1, no=0",1.0
2016,"yes=1, no=0",1.0
2017,"yes=1, no=0",1.0
2018,"yes=1, no=0",1.0
2019,"yes=1, no=0",1.0
2020,"yes=1, no=0",1.0
