Year,Units,Location,Value
2015,%,,97.3
2016,%,,97.9
2017,%,,97.3
2018,%,,97.9
2019,%,,96.1
2020,%,,95.5
2015,%,urban,99.9
2016,%,urban,100.0
2017,%,urban,99.9
2018,%,urban,99.7
2019,%,urban,99.5
2020,%,urban,99.7
2015,%,rural,92.5
2016,%,rural,94.0
2017,%,rural,93.3
2018,%,rural,94.4
2019,%,rural,90.6
2020,%,rural,89.6
