Year,Units,Регионы,GeoCode,Value
2010,тыс_гектар,,,30671.7
2011,тыс_гектар,,,29320.1
2012,тыс_гектар,,,29320.1
2013,тыс_гектар,,,29320.1
2014,тыс_гектар,,,29320.1
2015,тыс_гектар,,,29320.1
2016,тыс_гектар,,,29320.1
2017,тыс_гектар,,,29320.1
2018,тыс_гектар,,,29320.1
2010,тыс_гектар,Акмолинская,KZ03,571.6
2011,тыс_гектар,Акмолинская,KZ03,571.6
2012,тыс_гектар,Акмолинская,KZ03,571.6
2013,тыс_гектар,Акмолинская,KZ03,571.6
2014,тыс_гектар,Акмолинская,KZ03,571.6
2015,тыс_гектар,Акмолинская,KZ03,571.6
2016,тыс_гектар,Акмолинская,KZ03,571.6
2017,тыс_гектар,Акмолинская,KZ03,571.6
2018,тыс_гектар,Акмолинская,KZ03,571.6
2010,тыс_гектар,Актюбинская,KZ04,2582.5
2011,тыс_гектар,Актюбинская,KZ04,2582.5
2012,тыс_гектар,Актюбинская,KZ04,2582.5
2013,тыс_гектар,Актюбинская,KZ04,2582.5
2014,тыс_гектар,Актюбинская,KZ04,2582.5
2015,тыс_гектар,Актюбинская,KZ04,2582.5
2016,тыс_гектар,Актюбинская,KZ04,2582.5
2017,тыс_гектар,Актюбинская,KZ04,2582.5
2018,тыс_гектар,Актюбинская,KZ04,2582.5
2010,тыс_гектар,Алматинская,KZ01,5767.9
2011,тыс_гектар,Алматинская,KZ01,5767.9
2012,тыс_гектар,Алматинская,KZ01,5767.9
2013,тыс_гектар,Алматинская,KZ01,5767.9
2014,тыс_гектар,Алматинская,KZ01,5767.9
2015,тыс_гектар,Алматинская,KZ01,5767.9
2016,тыс_гектар,Алматинская,KZ01,5767.9
2017,тыс_гектар,Алматинская,KZ01,5767.9
2018,тыс_гектар,Алматинская,KZ01,5767.9
2010,тыс_гектар,Атырауская,KZ06,3133.9
2011,тыс_гектар,Атырауская,KZ06,3133.9
2012,тыс_гектар,Атырауская,KZ06,3133.9
2013,тыс_гектар,Атырауская,KZ06,3133.9
2014,тыс_гектар,Атырауская,KZ06,3133.9
2015,тыс_гектар,Атырауская,KZ06,3133.9
2016,тыс_гектар,Атырауская,KZ06,3133.9
2017,тыс_гектар,Атырауская,KZ06,3133.9
2018,тыс_гектар,Атырауская,KZ06,3133.9
2010,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2011,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2012,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2013,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2014,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2015,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2016,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2017,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2018,тыс_гектар,Западно-Казахстанская,KZ07,1875.9
2010,тыс_гектар,Жамбылская,KZ17,2636.7
2011,тыс_гектар,Жамбылская,KZ17,2636.7
2012,тыс_гектар,Жамбылская,KZ17,2636.7
2013,тыс_гектар,Жамбылская,KZ17,2636.7
2014,тыс_гектар,Жамбылская,KZ17,2636.7
2015,тыс_гектар,Жамбылская,KZ17,2636.7
2016,тыс_гектар,Жамбылская,KZ17,2636.7
2017,тыс_гектар,Жамбылская,KZ17,2636.7
2018,тыс_гектар,Жамбылская,KZ17,2636.7
2010,тыс_гектар,Карагандинская,KZ12,960.1
2011,тыс_гектар,Карагандинская,KZ12,960.1
2012,тыс_гектар,Карагандинская,KZ12,960.1
2013,тыс_гектар,Карагандинская,KZ12,960.1
2014,тыс_гектар,Карагандинская,KZ12,960.1
2015,тыс_гектар,Карагандинская,KZ12,960.1
2016,тыс_гектар,Карагандинская,KZ12,960.1
2017,тыс_гектар,Карагандинская,KZ12,960.1
2018,тыс_гектар,Карагандинская,KZ12,960.1
2010,тыс_гектар,Костанайская,KZ13,769.9
2011,тыс_гектар,Костанайская,KZ13,769.9
2012,тыс_гектар,Костанайская,KZ13,769.9
2013,тыс_гектар,Костанайская,KZ13,769.9
2014,тыс_гектар,Костанайская,KZ13,769.9
2015,тыс_гектар,Костанайская,KZ13,769.9
2016,тыс_гектар,Костанайская,KZ13,769.9
2017,тыс_гектар,Костанайская,KZ13,769.9
2018,тыс_гектар,Костанайская,KZ13,769.9
2010,тыс_гектар,Кызылординская,KZ14,2849.6
2011,тыс_гектар,Кызылординская,KZ14,2849.6
2012,тыс_гектар,Кызылординская,KZ14,2849.6
2013,тыс_гектар,Кызылординская,KZ14,2849.6
2014,тыс_гектар,Кызылординская,KZ14,2849.6
2015,тыс_гектар,Кызылординская,KZ14,2849.6
2016,тыс_гектар,Кызылординская,KZ14,2849.6
2017,тыс_гектар,Кызылординская,KZ14,2849.6
2018,тыс_гектар,Кызылординская,KZ14,2849.6
2010,тыс_гектар,Мангистауская,KZ09,1456.3
2011,тыс_гектар,Мангистауская,KZ09,1456.3
2012,тыс_гектар,Мангистауская,KZ09,1456.3
2013,тыс_гектар,Мангистауская,KZ09,1456.3
2014,тыс_гектар,Мангистауская,KZ09,1456.3
2015,тыс_гектар,Мангистауская,KZ09,1456.3
2016,тыс_гектар,Мангистауская,KZ09,1456.3
2017,тыс_гектар,Мангистауская,KZ09,1456.3
2018,тыс_гектар,Мангистауская,KZ09,1456.3
2010,тыс_гектар,Павлодарская,KZ11,1297.2
2011,тыс_гектар,Павлодарская,KZ11,1297.2
2012,тыс_гектар,Павлодарская,KZ11,1297.2
2013,тыс_гектар,Павлодарская,KZ11,1297.2
2014,тыс_гектар,Павлодарская,KZ11,1297.2
2015,тыс_гектар,Павлодарская,KZ11,1297.2
2016,тыс_гектар,Павлодарская,KZ11,1297.2
2017,тыс_гектар,Павлодарская,KZ11,1297.2
2018,тыс_гектар,Павлодарская,KZ11,1297.2
2010,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2011,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2012,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2013,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2014,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2015,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2016,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2017,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2018,тыс_гектар,Северо-Казахстанская,KZ16,56.0
2010,тыс_гектар,Туркестанская,KZ10,4066.6
2011,тыс_гектар,Туркестанская,KZ10,4066.6
2012,тыс_гектар,Туркестанская,KZ10,4066.6
2013,тыс_гектар,Туркестанская,KZ10,4066.6
2014,тыс_гектар,Туркестанская,KZ10,4066.6
2015,тыс_гектар,Туркестанская,KZ10,4066.6
2016,тыс_гектар,Туркестанская,KZ10,4066.6
2017,тыс_гектар,Туркестанская,KZ10,4066.6
2018,тыс_гектар,Туркестанская,KZ10,4066.6
2010,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2011,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2012,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2013,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2014,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2015,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2016,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2017,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2018,тыс_гектар,Восточно-Казахстанская,KZ15,1292.6
2010,тыс_гектар,г_Алматы,KZ02,0.1
2011,тыс_гектар,г_Алматы,KZ02,0.1
2012,тыс_гектар,г_Алматы,KZ02,0.1
2013,тыс_гектар,г_Алматы,KZ02,0.1
2014,тыс_гектар,г_Алматы,KZ02,0.1
2015,тыс_гектар,г_Алматы,KZ02,0.1
2016,тыс_гектар,г_Алматы,KZ02,0.1
2017,тыс_гектар,г_Алматы,KZ02,0.1
2018,тыс_гектар,г_Алматы,KZ02,0.1
2010,тыс_гектар,г_Шымкент,KZ18,23.2
2011,тыс_гектар,г_Шымкент,KZ18,23.2
2012,тыс_гектар,г_Шымкент,KZ18,23.2
2013,тыс_гектар,г_Шымкент,KZ18,23.2
2014,тыс_гектар,г_Шымкент,KZ18,23.2
2015,тыс_гектар,г_Шымкент,KZ18,23.2
2016,тыс_гектар,г_Шымкент,KZ18,23.2
2017,тыс_гектар,г_Шымкент,KZ18,23.2
2018,тыс_гектар,г_Шымкент,KZ18,23.2
