Year,Units,Официальная помощь для развития,Value
2015,,Казахстан-получатель,64.913873
2016,,Казахстан-получатель,3.961957
2017,,Казахстан-получатель,42.990499
2016,,Казахстан-донор,0.00315
2017,,Казахстан-донор,0.003098
