Year,Units,Браконьерство,Регионы,GeoCode,Value
2018,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,968.0
2012,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,4.4
2013,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,3.5
2014,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,8.4
2015,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.3
2016,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.0
2017,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,17.6
2018,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.3
2012,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,4.3
2013,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,3.1
2014,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,6.7
2015,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,11.2
2016,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,11.1
2017,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,12.7
2018,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,14.8
2012,количество,выявлено нарушений,Жамбылская,KZ17,170.0
2013,количество,выявлено нарушений,Жамбылская,KZ17,8.0
2014,количество,выявлено нарушений,Жамбылская,KZ17,21.0
2015,количество,выявлено нарушений,Жамбылская,KZ17,266.0
2016,количество,выявлено нарушений,Жамбылская,KZ17,146.0
2017,количество,выявлено нарушений,Жамбылская,KZ17,210.0
2018,количество,выявлено нарушений,Жамбылская,KZ17,247.0
2012,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,8.4
2015,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,3.3
2016,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,1.8
2017,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,2.5
2018,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,4.6
2015,млн_тенге,взыскано,Жамбылская,KZ17,2.2
2016,млн_тенге,взыскано,Жамбылская,KZ17,1.5
2017,млн_тенге,взыскано,Жамбылская,KZ17,2.2
2018,млн_тенге,взыскано,Жамбылская,KZ17,3.6
2012,количество,выявлено нарушений,Западно-Казахстанская,KZ07,322.0
2013,количество,выявлено нарушений,Западно-Казахстанская,KZ07,483.0
2014,количество,выявлено нарушений,Западно-Казахстанская,KZ07,527.0
2015,количество,выявлено нарушений,Западно-Казахстанская,KZ07,240.0
2016,количество,выявлено нарушений,Западно-Казахстанская,KZ07,236.0
2017,количество,выявлено нарушений,Западно-Казахстанская,KZ07,242.0
2018,количество,выявлено нарушений,Западно-Казахстанская,KZ07,291.0
2012,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,1.5
2013,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,2.3
2014,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,2.9
2015,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,2.8
2016,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,3.1
2017,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,3.6
2018,млн_тенге,наложено штрафов на сумму,Западно-Казахстанская,KZ07,3.8
2012,млн_тенге,взыскано,Западно-Казахстанская,KZ07,1.4
2013,млн_тенге,взыскано,Западно-Казахстанская,KZ07,1.9
2014,млн_тенге,взыскано,Западно-Казахстанская,KZ07,2.3
2015,млн_тенге,взыскано,Западно-Казахстанская,KZ07,2.4
2016,млн_тенге,взыскано,Западно-Казахстанская,KZ07,2.7
2017,млн_тенге,взыскано,Западно-Казахстанская,KZ07,3.2
2018,млн_тенге,взыскано,Западно-Казахстанская,KZ07,3.5
2012,количество,выявлено нарушений,Карагандинская,KZ12,286.0
2013,количество,выявлено нарушений,Карагандинская,KZ12,294.0
2014,количество,выявлено нарушений,Карагандинская,KZ12,289.0
2015,количество,выявлено нарушений,Карагандинская,KZ12,212.0
2016,количество,выявлено нарушений,Карагандинская,KZ12,239.0
2017,количество,выявлено нарушений,Карагандинская,KZ12,327.0
2018,количество,выявлено нарушений,Карагандинская,KZ12,341.0
2012,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,1.4
2013,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,1.6
2014,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,1.8
2015,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,2.3
2016,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,2.9
2017,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,4.6
2018,млн_тенге,наложено штрафов на сумму,Карагандинская,KZ12,4.8
2012,млн_тенге,взыскано,Карагандинская,KZ12,1.1
2013,млн_тенге,взыскано,Карагандинская,KZ12,1.2
2014,млн_тенге,взыскано,Карагандинская,KZ12,1.4
2015,млн_тенге,взыскано,Карагандинская,KZ12,1.9
