Year,Units,Value
2015,"на
 100 000 населения",216.4
2016,"на
 100 000 населения",156.6
2017,"на
 100 000 населения",108.7
2015,"на
 100 000 населения",184.8
2016,"на
 100 000 населения",130.6
2017,"на
 100 000 населения",86.6
2015,"на
 100 000 населения",31.6
2016,"на
 100 000 населения",24.7
2017,"на
 100 000 населения",21.5
