Year,Units,Value
2015,число филиалов коммерческих банков на 100 000 взрослых,3.4
2016,число филиалов коммерческих банков на 100 000 взрослых,2.9
2017,число филиалов коммерческих банков на 100 000 взрослых,2.8
2015,число банкоматов на 100 000 взрослых,75.2
2016,число банкоматов на 100 000 взрослых,78.0
2017,число банкоматов на 100 000 взрослых,78.6
