Indicator
#12-1-1
#12-2-1
#12-2-2
#12-4-1
#12-7-1
#12-c-1
#14-1-1
#14-2-1
#17-14-1
#17-7-1
#6-3-2
#6-5-1
#8-4-1
#8-4-2
